date,values
2024-12-08,104
2024-12-09,119
2024-12-10,93
2024-12-11,78
2024-12-12,91
2024-12-13,90
2024-12-14,98
2024-12-15,95
2024-12-16,78
2024-12-17,91
2024-12-18,79
2024-12-19,80
2024-12-20,94
2024-12-21,91
2024-12-22,102
2024-12-23,124
2024-12-24,119
2024-12-25,95
2024-12-26,85
2024-12-27,146
2024-12-28,132
2024-12-29,124
2024-12-30,114
2024-12-31,112
